Leff,Vth,Tox,Vdd,Power dissipation (W),Delay (s)
2.76,0.54059,1.51,0.75903,18.1,1.92
2.39,0.47624,1.59,0.76943,17.9,1.48
2.98,0.38132,1.54,0.83163,22.7,1.18
2.4,0.52081,1.58,0.8436,22.2,1.51
3.55,0.44354,1.63,0.74524,11.6,2.54
2.46,0.41414,1.72,0.93464,25.3,0.8300000000000001
2.45,0.52569,1.75,0.97304,33.9,0.9630000000000001
3.12,0.43482,1.55,0.90329,32.9,1.24
2.17,0.58419,1.7,1.0291,57.1,0.725
3.34,0.38827,1.6,0.86317,19.7,1.524116071428571
2.88,0.47245,1.59,0.9103,27.7,1.1
2.75,0.53176,1.67,0.9089,32.8,1.11
2.83,0.4043,1.49,1.0149,49.2,0.8829999999999999
2.75,0.51103,1.68,0.93719,30.2,1.9
2.72,0.52376,1.81,0.76441,19.3,1.78
3.19,0.4478,1.56,0.93203,31.9,0.465
2.8,0.53546,1.61,0.98,39.5,1.1
2.88,0.59087,1.65,0.94068,32.2,1.72
2.94,0.58557,1.67,0.73191,12.5,4.18
2.46,0.49021,1.63,1.0429,41.8,0.512
2.06,0.59146,1.65,0.94663,27.6,2.18
3.05,0.46139,1.74,0.90783,29.3,1.15
2.58,0.51342,1.72,0.90931,29.7,1.31
2.61,0.49812,1.66,0.83264,23.3,0.739
2.22,0.46269,1.57,0.77064,19.3,1.58
3.35,0.53941,1.69,1.0139,43.6,0.7120000000000001
2.74,0.43651,1.54,0.8564,32.2,1.59
2.36,0.4918,1.63,0.74473,19.0,1.38
2.33,0.54131,1.73,0.9878,61.7,0.411
3.4,0.4573,1.63,0.80786,24.1,2.68
2.32,0.53496,1.63,0.89604,25.1,1.45
2.52,0.51516,1.64,0.7898,21.4,1.45
2.09,0.48723,1.56,0.82577,25.9,1.19
2.46,0.46142,1.67,0.86198,23.5,1.58
2.58,0.48782,1.74,0.82322,20.5,1.58
2.81,0.55498,1.56,0.99958,38.7,0.799
2.52,0.39886,1.64,0.86133,16.6,4.359999999999999
2.73,0.44186,1.56,1.0839,45.0,0.579
2.55,0.53688,1.66,0.88019,24.1,2.06
3.36,0.64449,1.7,0.95829,32.8,1.16
2.16,0.50725,1.61,0.86588,24.36,1.79
2.55,0.48651,1.72,0.87367,26.6,1.2
2.06,0.34734,1.7,0.86514,25.0,1.54
3.15,0.53743,1.56,0.86093,21.1,1.68
2.72,0.5723,1.61,0.97515,36.2,0.898
2.71,0.40379,1.61,1.0745,53.5,0.9069999999999999
3.62,0.59194,1.68,0.84983,24.9,1.19
3.1,0.51273,1.62,1.0189,54.3,0.537
2.58,0.50905,1.74,0.97159,37.9,1.84
2.92,0.40182,1.7,0.83499,27.6,1.72
2.73,0.48633,1.66,0.91284,31.7,1.23
2.08,0.56018,1.73,0.72266,13.5,2.88
3.44,0.49986,1.65,0.84727,13.8,1.65
2.0,0.50205,1.63,0.83528,20.1,0.956
2.53,0.51073,1.76,0.85145,20.3,1.35
2.5,0.50121,1.59,0.81377,13.7,2.09
2.29,0.49992,1.65,0.88479,41.1,0.427
2.7,0.50343,1.67,0.8202,18.3,3.63
3.2,0.48407,1.64,0.95948,27.2,1.14
2.13,0.46028,1.66,0.86514,31.0,1.11
3.18,0.4764,1.66,0.86684,33.7,1.3
2.78,0.50246,1.6,0.97693,28.6,1.92
2.87,0.36602,1.61,0.8648,32.6,0.9710000000000001
2.37,0.50406,1.67,0.92138,26.4,1.87
2.82,0.49774,1.56,0.93131,36.7,0.866
2.39,0.47401,1.59,1.0046,33.4,1.64
2.84,0.40015,1.57,0.99438,30.7,1.47
2.38,0.58545,1.62,0.93448,24.1,1.68
3.07,0.44775,1.69,0.87898,30.1,1.01
2.04,0.48077,1.67,0.99905,39.6,1.1
3.01,0.50827,1.58,1.0523,43.5,1.34
3.07,0.58267,1.68,0.83357,17.4,3.96
3.36,0.52073,1.73,0.62725,10.2,2.01
2.46,0.5632,1.64,0.93905,38.5,0.459
2.41,0.45967,1.69,0.98577,38.6,1.42
2.4,0.59261,1.65,0.98484,37.4,1.39
2.44,0.48049,1.78,0.93934,22.7,2.33
2.45,0.44682,1.77,0.88165,30.2,0.897
2.08,0.5147,1.52,0.91955,35.0,1.31
3.38,0.55936,1.54,0.82119,18.6,2.29
2.46,0.53626,1.66,0.79474,26.2,0.956
2.96,0.48871,1.66,0.91891,26.5,1.59
3.24,0.56983,1.75,0.78022,14.6,2.32
2.6,0.43416,1.61,0.91674,23.9,1.04
3.46,0.50204,1.57,0.85467,36.90000000000001,0.802
3.42,0.62128,1.74,0.94755,38.4,1.24
3.08,0.50254,1.71,0.90707,29.1,1.79
2.84,0.4626,1.79,0.93652,38.09999999999999,1.01
3.24,0.5154,1.68,0.89979,25.9,2.0
2.81,0.34499,1.68,0.87126,30.4,1.03
2.73,0.45341,1.62,0.919,21.2,2.23
2.65,0.40576,1.68,0.85439,23.8,1.15
2.74,0.47586,1.74,0.94918,29.0,1.36
3.28,0.5401,1.6,0.85014,29.7,1.12
2.26,0.43831,1.58,0.83914,22.8,1.82
2.77,0.44581,1.64,0.91541,26.0,1.34
2.51,0.499,1.69,0.92269,17.4,2.28
3.18,0.49725,1.5,0.72058,10.4,1.96
2.92,0.52025,1.6,0.82687,19.9,0.924
3.03,0.5499,1.68,1.0122,57.59999999999999,0.416
2.73,0.42124,1.67,0.91238,23.5,1.01
2.67,0.38195,1.68,1.0388,40.8,0.777
2.76,0.49303,1.78,0.97935,28.0,1.02
2.98,0.43375,1.67,0.95242,32.8,1.07
3.03,0.49637,1.76,0.91055,21.7,2.07
2.04,0.42347,1.66,0.85277,27.8,1.04
2.54,0.45945,1.62,0.90797,49.4,0.689
2.6,0.37279,1.69,0.89364,24.5,2.54
3.33,0.47387,1.72,0.96842,28.4,1.28
2.92,0.36457,1.74,1.0059,56.3,0.652
2.54,0.5585,1.5,1.0701,38.2,1.94
3.52,0.62074,1.6,1.0112,34.8,1.4
2.92,0.52768,1.65,0.8672,19.7,2.27
2.72,0.5372,1.5,0.87216,19.7,1.51
2.9,0.49736,1.65,0.92524,25.7,1.11
2.52,0.40096,1.59,0.9637,39.8,0.845
2.94,0.56629,1.63,0.67568,10.3,1.08
3.55,0.58069,1.62,0.90255,42.7,0.403
2.8,0.49099,1.55,1.0432,42.6,1.51
2.81,0.49114,1.64,0.98297,33.8,1.63
3.25,0.57111,1.57,0.75591,13.7,2.92
2.67,0.5121,1.68,0.97795,26.6,1.0
2.28,0.45098,1.68,0.96682,34.8,0.886
3.09,0.52443,1.61,0.90025,24.8,1.89
2.33,0.504,1.68,0.78335,15.2,2.1
2.9,0.47517,1.57,0.84182,17.1,1.45
2.46,0.53326,1.72,0.90515,27.7,0.921
3.01,0.42552,1.59,0.85865,17.6,2.48
2.34,0.52268,1.64,0.79522,19.6,1.08
2.46,0.39269,1.68,0.9062,22.7,1.5
2.2,0.38722,1.7,0.95711,22.4,1.55
2.41,0.45989,1.73,1.0276,60.09999999999999,0.409
3.01,0.53761,1.7,0.82626,23.6,1.06
2.89,0.44796,1.57,0.84277,19.8,1.96
